times,ll45p,lln,llw,llp,llc,l45p,ln,lw,lp,lc,t45p,tn,tw,tp,tc
0,1600,165765,8727,2200,700,2000,170995,7763,2700,800,1500,169159,7514,2000,600
1,2000,170995,7763,2700,800,1500,169159,7514,2000,600,1300,179133,7698,1900,700
2,1500,169159,7514,2000,600,1300,179133,7698,1900,700,1300,187533,9409,1600,400
3,1300,179133,7698,1900,700,1300,187533,9409,1600,400,1800,196470,8363,2600,900
4,1300,187533,9409,1600,400,1800,196470,8363,2600,900,1700,221109,8310,2500,900
5,1800,196470,8363,2600,900,1700,221109,8310,2500,900,1500,256897,11829,2300,900
6,1700,221109,8310,2500,900,1500,256897,11829,2300,900,1300,277889,11598,2200,1000
7,1500,256897,11829,2300,900,1300,277889,11598,2200,1000,1300,275438,11546,1600,400
8,1300,277889,11598,2200,1000,1300,275438,11546,1600,400,1500,240750,11475,2400,1000
9,1300,275438,11546,1600,400,1500,240750,11475,2400,1000,1200,251188,11549,2100,1000
10,1500,240750,11475,2400,1000,1200,251188,11549,2100,1000,800,229544,12889,1700,1000
11,1200,251188,11549,2100,1000,800,229544,12889,1700,1000,900,213212,11621,1500,700
12,800,229544,12889,1700,1000,900,213212,11621,1500,700,900,215424,11549,1800,1000
13,900,213212,11621,1500,700,900,215424,11549,1800,1000,800,219882,12261,1500,800
14,900,215424,11549,1800,1000,800,219882,12261,1500,800,900,232101,12215,1600,800
15,800,219882,12261,1500,800,900,232101,12215,1600,800,1300,251717,10157,2200,1000
16,900,232101,12215,1600,800,1300,251717,10157,2200,1000,900,262010,10356,1800,1000
17,1300,251717,10157,2200,1000,900,262010,10356,1800,1000,1200,252273,12196,1900,800
18,900,262010,10356,1800,1000,1200,252273,12196,1900,800,1300,270197,10316,2200,1000
19,1200,252273,12196,1900,800,1300,270197,10316,2200,1000,1200,244349,10312,1500,400
20,1300,270197,10316,2200,1000,1200,244349,10312,1500,400,1300,269189,10325,2400,1200
