times,tn,tn1,tp,tc,tt
0,17,169159,1700,100,55.5
1,18,179133,1600,100,56.5
2,20,196470,2400,200,53.5
3,22,221109,2300,200,53
4,26,256897,1800,100,56
5,28,277889,1700,100,55
6,24,240750,2100,300,54.5
7,25,251188,1600,100,55.5
8,23,229544,1200,100,55.5
9,22,215424,1400,200,55
10,22,219882,1200,100,56.5
11,23,232101,1100,100,56
12,25,251717,1800,200,54.5
13,26,262010,1400,200,55
14,25,252273,1400,100,56
15,27,270197,1800,200,54.5
16,27,269189,2100,300,54
